,stimulation,population,feature,time,p.value,FDR
Unstim_Th1_p38_V5,Unstim,Th1,p38,V5,0.203216566,0.831214036
PI_cMC_STAT5_V4a,PI,cMC,STAT5,V4a,0.205379737,0.812417408
TNFa_Th1naive_Frequency_V4a,TNFa,Th1naive,Frequency,V4a,0.205384526,0.812417408
IL1B_MDSC_MAPKAPK2_V4a,IL1B,MDSC,MAPKAPK2,V4a,0.206643257,0.81605424
IL1B_NK-Tcells_STAT5_V4a,IL1B,NK-Tcells,STAT5,V4a,0.207081884,0.81644579
PI_Th1_MAPKAPK2_V4a,PI,Th1,MAPKAPK2,V4a,0.208161334,0.816950934
IFNa_Bcells_pSTAT6_V4a,IFNa,Bcells,pSTAT6,V4a,0.214249802,0.816950934
IFNa_CD4Tcm_S6_V4a,IFNa,CD4Tcm,S6,V4a,0.214249802,0.816950934
IFNa_CD4Tem_S6_V4a,IFNa,CD4Tem,S6,V4a,0.214249802,0.816950934
IFNa_CD4Tnaive_IkB_V4a,IFNa,CD4Tnaive,IkB,V4a,0.214249802,0.816950934
IFNa_Th1_pSTAT6_V4a,IFNa,Th1,pSTAT6,V4a,0.214249802,0.816950934
IL246_gdT_pSTAT6_V4a,IL246,gdT,pSTAT6,V4a,0.214249802,0.816950934
LPS_Baso +++_ERK_V4a,LPS,Baso +++,ERK,V4a,0.214249802,0.816950934
LPS_CD56brightCD16neg-NK_S6_V4a,LPS,CD56brightCD16neg-NK,S6,V4a,0.214249802,0.816950934
LPS_ncMC_NFkB_V4a,LPS,ncMC,NFkB,V4a,0.214249802,0.816950934
LPS_Th1mem_CREB_V4a,LPS,Th1mem,CREB,V4a,0.214249802,0.816950934
LPS_Th2_ERK_V4a,LPS,Th2,ERK,V4a,0.214249802,0.816950934
LPS_Treg_S6_V4a,LPS,Treg,S6,V4a,0.214249802,0.816950934
LPS_Tregmem_NFkB_V4a,LPS,Tregmem,NFkB,V4a,0.214249802,0.816950934
Unstim_CD4Tcm_STAT5_V4a,Unstim,CD4Tcm,STAT5,V4a,0.214249802,0.816950934
Unstim_CD4Tnaive_pSTAT6_V4a,Unstim,CD4Tnaive,pSTAT6,V4a,0.214249802,0.816950934
Unstim_CD8Tem_S6_V4b,Unstim,CD8Tem,S6,V4b,0.214249802,0.804682396
Unstim_CD8Tnaive_pSTAT6_V4b,Unstim,CD8Tnaive,pSTAT6,V4b,0.214249802,0.804682396
Unstim_Th1_CREB_V4b,Unstim,Th1,CREB,V4b,0.214249802,0.804682396
Unstim_Treg_pSTAT6_V4b,Unstim,Treg,pSTAT6,V4b,0.214249802,0.804682396
Unstim_Eosino_S6_V5,Unstim,Eosino,S6,V5,0.214249802,0.831214036
Unstim_MDSC_NFkB_V5,Unstim,MDSC,NFkB,V5,0.214249802,0.831214036
Unstim_Tregnaive_NFkB_V5,Unstim,Tregnaive,NFkB,V5,0.214249802,0.831214036
TNFa_ncMC_STAT3_V4a,TNFa,ncMC,STAT3,V4a,0.216942109,0.816950934
PI_Tregnaive_ERK_V4a,PI,Tregnaive,ERK,V4a,0.217126919,0.816950934
Unstim_CD56dimCD16pos-NK_S6_V4a,Unstim,CD56dimCD16pos-NK,S6,V4a,0.217208567,0.816950934
TNFa_Th2_STAT3_V4a,TNFa,Th2,STAT3,V4a,0.217759365,0.816950934
IFNa_Th1naive_p38_V4a,IFNa,Th1naive,p38,V4a,0.218074242,0.816950934
PI_CD56dimCD16pos-NK_MAPKAPK2_V4a,PI,CD56dimCD16pos-NK,MAPKAPK2,V4a,0.218074242,0.816950934
PI_gdT_MAPKAPK2_V4a,PI,gdT,MAPKAPK2,V4a,0.218074242,0.816950934
PI_Granulocytes_Frequency_V4a,PI,Granulocytes,Frequency,V4a,0.218074242,0.816950934
PI_mDC_p38_V4a,PI,mDC,p38,V4a,0.218074242,0.816950934
PI_mDC_S6_V4a,PI,mDC,S6,V4a,0.218074242,0.816950934
IFNa_Eosino_CREB_V4a,IFNa,Eosino,CREB,V4a,0.218846091,0.816950934
IFNa_pDC_NFkB_V4a,IFNa,pDC,NFkB,V4a,0.218846091,0.816950934
IL1B_Baso +++_S6_V4a,IL1B,Baso +++,S6,V4a,0.218846091,0.816950934
IL1B_Bcells_CREB_V4a,IL1B,Bcells,CREB,V4a,0.218846091,0.816950934
IL1B_MDSC_S6_V4a,IL1B,MDSC,S6,V4a,0.218846091,0.816950934
IL1B_Tregnaive_MAPKAPK2_V4a,IL1B,Tregnaive,MAPKAPK2,V4a,0.218846091,0.816950934
IFNa_CD4Tcm_ERK_V4a,IFNa,CD4Tcm,ERK,V4a,0.226232566,0.816950934
IFNa_CD4Tnaive_MAPKAPK2_V4a,IFNa,CD4Tnaive,MAPKAPK2,V4a,0.226232566,0.816950934
IFNa_CD8Tcm_p38_V4a,IFNa,CD8Tcm,p38,V4a,0.226232566,0.816950934
IL246_CD4Tcm_ERK_V4a,IL246,CD4Tcm,ERK,V4a,0.226232566,0.816950934
IL246_CD4Tnaive_STAT3_V4a,IL246,CD4Tnaive,STAT3,V4a,0.226232566,0.816950934
IL246_CD8Tnaive_IkB_V4a,IL246,CD8Tnaive,IkB,V4a,0.226232566,0.816950934
IL246_cMC_MAPKAPK2_V4a,IL246,cMC,MAPKAPK2,V4a,0.226232566,0.816950934
IL246_intMC_pSTAT6_V4a,IL246,intMC,pSTAT6,V4a,0.226232566,0.816950934
LPS_CD4Tem_IkB_V4a,LPS,CD4Tem,IkB,V4a,0.226232566,0.816950934
LPS_CD56dimCD16pos-NK_MAPKAPK2_V4a,LPS,CD56dimCD16pos-NK,MAPKAPK2,V4a,0.226232566,0.816950934
LPS_Th2_MAPKAPK2_V4a,LPS,Th2,MAPKAPK2,V4a,0.226232566,0.816950934
LPS_Treg_STAT5_V4a,LPS,Treg,STAT5,V4a,0.226232566,0.816950934
TNFa_Baso_p38_V4a,TNFa,Baso,p38,V4a,0.226232566,0.816950934
TNFa_Baso +++_IkB_V4a,TNFa,Baso +++,IkB,V4a,0.226232566,0.816950934
TNFa_CD8Tcm_IkB_V4a,TNFa,CD8Tcm,IkB,V4a,0.226232566,0.816950934
TNFa_CD8Trm_p38_V4a,TNFa,CD8Trm,p38,V4a,0.226232566,0.816950934
TNFa_MDSC_Frequency_V4a,TNFa,MDSC,Frequency,V4a,0.226232566,0.816950934
Unstim_CD8Tcm_pSTAT6_V4a,Unstim,CD8Tcm,pSTAT6,V4a,0.226232566,0.816950934
Unstim_Granulocytes_NFkB_V4a,Unstim,Granulocytes,NFkB,V4a,0.226232566,0.816950934
Unstim_intMC_NFkB_V4a,Unstim,intMC,NFkB,V4a,0.226232566,0.816950934
Unstim_Th1_IkB_V4a,Unstim,Th1,IkB,V4a,0.226232566,0.816950934
Unstim_Th1_pSTAT6_V4a,Unstim,Th1,pSTAT6,V4a,0.226232566,0.816950934
Unstim_Treg_pSTAT6_V4a,Unstim,Treg,pSTAT6,V4a,0.226232566,0.816950934
Unstim_Tregnaive_MAPKAPK2_V4a,Unstim,Tregnaive,MAPKAPK2,V4a,0.226232566,0.816950934
Unstim_MDSC_IkB_V4b,Unstim,MDSC,IkB,V4b,0.226232566,0.808480367
Unstim_CD4Tcm_S6_V5,Unstim,CD4Tcm,S6,V5,0.226232566,0.831214036
Unstim_CD56brightCD16neg-NK_NFkB_V5,Unstim,CD56brightCD16neg-NK,NFkB,V5,0.226232566,0.831214036
Unstim_CD8Tcm_pSTAT6_V5,Unstim,CD8Tcm,pSTAT6,V5,0.226232566,0.831214036
Unstim_CD8Tnaive_MAPKAPK2_V5,Unstim,CD8Tnaive,MAPKAPK2,V5,0.226232566,0.831214036
Unstim_Granulocytes_S6_V5,Unstim,Granulocytes,S6,V5,0.226232566,0.831214036
Unstim_MDSC_S6_V5,Unstim,MDSC,S6,V5,0.226232566,0.831214036
Unstim_Treg_pSTAT6_V5,Unstim,Treg,pSTAT6,V5,0.226232566,0.831214036
Unstim_CD56brightCD16neg-NK_STAT5_V4b,Unstim,CD56brightCD16neg-NK,STAT5,V4b,0.226732503,0.808480367
IL1B_Th17_p38_V4a,IL1B,Th17,p38,V4a,0.229079453,0.821187098
PI_CD4Trm_p38_V4a,PI,CD4Trm,p38,V4a,0.231307138,0.821187098
PI_CD8Tem_MAPKAPK2_V4a,PI,CD8Tem,MAPKAPK2,V4a,0.231307138,0.821187098
PI_Granulocytes_ERK_V4a,PI,Granulocytes,ERK,V4a,0.231307138,0.821187098
PI_Granulocytes_STAT3_V4a,PI,Granulocytes,STAT3,V4a,0.231307138,0.821187098
PI_NK-Tcells_MAPKAPK2_V4a,PI,NK-Tcells,MAPKAPK2,V4a,0.231307138,0.821187098
PI_pDC_p38_V4a,PI,pDC,p38,V4a,0.231307138,0.821187098
IL1B_pDC_NFkB_V4a,IL1B,pDC,NFkB,V4a,0.231544037,0.821187098
Unstim_CD8Tnaive_CREB_V4b,Unstim,CD8Tnaive,CREB,V4b,0.233753223,0.808480367
LPS_NK-Tcells_STAT5_V4a,LPS,NK-Tcells,STAT5,V4a,0.234389012,0.821187098
LPS_intMC_pSTAT6_V4a,LPS,intMC,pSTAT6,V4a,0.234395276,0.821187098
IL1B_gdT_p38_V4a,IL1B,gdT,p38,V4a,0.237481984,0.821187098
IFNa_CD8Tem_CREB_V4a,IFNa,CD8Tem,CREB,V4a,0.238673506,0.821187098
IFNa_ncMC_IkB_V4a,IFNa,ncMC,IkB,V4a,0.238673506,0.821187098
IFNa_Th1mem_STAT3_V4a,IFNa,Th1mem,STAT3,V4a,0.238673506,0.821187098
IFNa_Th2_STAT1_V4a,IFNa,Th2,STAT1,V4a,0.238673506,0.821187098
IL246_Baso_pSTAT6_V4a,IL246,Baso,pSTAT6,V4a,0.238673506,0.821187098
IL246_Bcells_STAT5_V4a,IL246,Bcells,STAT5,V4a,0.238673506,0.821187098
IL246_CD4Tcm_CREB_V4a,IL246,CD4Tcm,CREB,V4a,0.238673506,0.821187098
IL246_cMC_STAT5_V4a,IL246,cMC,STAT5,V4a,0.238673506,0.821187098
IL246_intMC_ERK_V4a,IL246,intMC,ERK,V4a,0.238673506,0.821187098
IL246_mDC_pSTAT6_V4a,IL246,mDC,pSTAT6,V4a,0.238673506,0.821187098
IL246_pDC_p38_V4a,IL246,pDC,p38,V4a,0.238673506,0.821187098
LPS_CD4Tnaive_IkB_V4a,LPS,CD4Tnaive,IkB,V4a,0.238673506,0.821187098
LPS_CD56brightCD16neg-NK_ERK_V4a,LPS,CD56brightCD16neg-NK,ERK,V4a,0.238673506,0.821187098
LPS_CD8Tnaive_CREB_V4a,LPS,CD8Tnaive,CREB,V4a,0.238673506,0.821187098
LPS_NK-Tcells_S6_V4a,LPS,NK-Tcells,S6,V4a,0.238673506,0.821187098
LPS_Tregmem_S6_V4a,LPS,Tregmem,S6,V4a,0.238673506,0.821187098
TNFa_Granulocytes_IkB_V4a,TNFa,Granulocytes,IkB,V4a,0.238673506,0.821187098
TNFa_intMC_Frequency_V4a,TNFa,intMC,Frequency,V4a,0.238673506,0.821187098
TNFa_ncMC_p38_V4a,TNFa,ncMC,p38,V4a,0.238673506,0.821187098
Unstim_Baso +++_CREB_V4a,Unstim,Baso +++,CREB,V4a,0.238673506,0.821187098
Unstim_CD4Tnaive_IkB_V4a,Unstim,CD4Tnaive,IkB,V4a,0.238673506,0.821187098
Unstim_CD8Tcm_IkB_V4a,Unstim,CD8Tcm,IkB,V4a,0.238673506,0.821187098
Unstim_CD8Tnaive_NFkB_V4b,Unstim,CD8Tnaive,NFkB,V4b,0.238673506,0.808480367
Unstim_Eosino_ERK_V4b,Unstim,Eosino,ERK,V4b,0.238673506,0.808480367
Unstim_NK-Tcells_Frequency_V4b,Unstim,NK-Tcells,Frequency,V4b,0.238673506,0.808480367
Unstim_Th2_pSTAT6_V4b,Unstim,Th2,pSTAT6,V4b,0.238673506,0.808480367
Unstim_Treg_NFkB_V4b,Unstim,Treg,NFkB,V4b,0.238673506,0.808480367
Unstim_CD56brightCD16neg-NK_CREB_V5,Unstim,CD56brightCD16neg-NK,CREB,V5,0.238673506,0.848328657
Unstim_mDC_STAT3_V5,Unstim,mDC,STAT3,V5,0.238673506,0.848328657
Unstim_ncMC_NFkB_V5,Unstim,ncMC,NFkB,V5,0.238673506,0.848328657
IL246_Eosino_STAT1_V4a,IL246,Eosino,STAT1,V4a,0.239192438,0.821796876
PI_Th1_STAT1_V4a,PI,Th1,STAT1,V4a,0.240631771,0.825562636
TNFa_Baso +++_STAT3_V4a,TNFa,Baso +++,STAT3,V4a,0.242982358,0.832439561
IL1B_CD4Trm_S6_V4a,IL1B,CD4Trm,S6,V4a,0.244742194,0.834884633
TNFa_Th1_ERK_V4a,TNFa,Th1,ERK,V4a,0.244742194,0.834884633
Unstim_Th1mem_NFkB_V5,Unstim,Th1mem,NFkB,V5,0.244742194,0.860545135
IFNa_Th1naive_STAT3_V4a,IFNa,Th1naive,STAT3,V4a,0.245084636,0.834884633
PI_CD4Tnaive_Frequency_V4a,PI,CD4Tnaive,Frequency,V4a,0.245084636,0.834884633
Unstim_Th1mem_STAT5_V4a,Unstim,Th1mem,STAT5,V4a,0.247864151,0.835693291
Unstim_CD4Tnaive_STAT3_V4b,Unstim,CD4Tnaive,STAT3,V4b,0.248138254,0.808480367
IL246_CD4Tem_STAT1_V4a,IL246,CD4Tem,STAT1,V4a,0.250104499,0.835693291
IL1B_Th2_S6_V4a,IL1B,Th2,S6,V4a,0.251364873,0.835693291
IFNa_CD8Trm_IkB_V4a,IFNa,CD8Trm,IkB,V4a,0.251576691,0.835693291
IFNa_intMC_p38_V4a,IFNa,intMC,p38,V4a,0.251576691,0.835693291
IFNa_NK-Tcells_CREB_V4a,IFNa,NK-Tcells,CREB,V4a,0.251576691,0.835693291
IFNa_Treg_ERK_V4a,IFNa,Treg,ERK,V4a,0.251576691,0.835693291
IFNa_Tregmem_IkB_V4a,IFNa,Tregmem,IkB,V4a,0.251576691,0.835693291
IL246_CD4Tem_ERK_V4a,IL246,CD4Tem,ERK,V4a,0.251576691,0.835693291
IL246_CD4Trm_IkB_V4a,IL246,CD4Trm,IkB,V4a,0.251576691,0.835693291
IL246_CD8Tnaive_ERK_V4a,IL246,CD8Tnaive,ERK,V4a,0.251576691,0.835693291
IL246_cMC_Frequency_V4a,IL246,cMC,Frequency,V4a,0.251576691,0.835693291
LPS_CD8Tnaive_pSTAT6_V4a,LPS,CD8Tnaive,pSTAT6,V4a,0.251576691,0.835693291
LPS_CD8Trm_CREB_V4a,LPS,CD8Trm,CREB,V4a,0.251576691,0.835693291
TNFa_Tregmem_ERK_V4a,TNFa,Tregmem,ERK,V4a,0.251576691,0.835693291
Unstim_Baso +++_Frequency_V4a,Unstim,Baso +++,Frequency,V4a,0.251576691,0.835693291
Unstim_Bcells_IkB_V4a,Unstim,Bcells,IkB,V4a,0.251576691,0.835693291
Unstim_Eosino_S6_V4a,Unstim,Eosino,S6,V4a,0.251576691,0.835693291
Unstim_CD4Tnaive_Frequency_V4b,Unstim,CD4Tnaive,Frequency,V4b,0.251576691,0.808480367
Unstim_Granulocytes_STAT3_V4b,Unstim,Granulocytes,STAT3,V4b,0.251576691,0.808480367
Unstim_Treg_IkB_V4b,Unstim,Treg,IkB,V4b,0.251576691,0.808480367
Unstim_Tregnaive_MAPKAPK2_V4b,Unstim,Tregnaive,MAPKAPK2,V4b,0.251576691,0.808480367
Unstim_CD4Tcm_STAT3_V5,Unstim,CD4Tcm,STAT3,V5,0.251576691,0.866373378
LPS_pDC_STAT3_V4a,LPS,pDC,STAT3,V4a,0.253498145,0.840914535
PI_Baso +++_STAT3_V4a,PI,Baso +++,STAT3,V4a,0.256717818,0.845086339
IFNa_Eosino_STAT1_V4a,IFNa,Eosino,STAT1,V4a,0.258445347,0.845086339
IL1B_CD4Tcm_CREB_V4a,IL1B,CD4Tcm,CREB,V4a,0.258445347,0.845086339
IL1B_pDC_S6_V4a,IL1B,pDC,S6,V4a,0.258445347,0.845086339
IL1B_Tregnaive_NFkB_V4a,IL1B,Tregnaive,NFkB,V4a,0.258445347,0.845086339
IL246_Tregnaive_STAT5_V4a,IL246,Tregnaive,STAT5,V4a,0.258445347,0.845086339
LPS_intMC_IkB_V4a,LPS,intMC,IkB,V4a,0.258445347,0.845086339
LPS_intMC_STAT5_V4a,LPS,intMC,STAT5,V4a,0.258445347,0.845086339
PI_CD8Tnaive_STAT5_V4a,PI,CD8Tnaive,STAT5,V4a,0.259411724,0.845086339
PI_Eosino_MAPKAPK2_V4a,PI,Eosino,MAPKAPK2,V4a,0.259411724,0.845086339
PI_mDC_CREB_V4a,PI,mDC,CREB,V4a,0.259411724,0.845086339
PI_pDC_S6_V4a,PI,pDC,S6,V4a,0.259411724,0.845086339
IL246_Treg_CREB_V4a,IL246,Treg,CREB,V4a,0.260750683,0.845086339
Unstim_MDSC_ERK_V5,Unstim,MDSC,ERK,V5,0.260750683,0.866373378
IFNa_Baso_STAT3_V4a,IFNa,Baso,STAT3,V4a,0.264945987,0.845086339
IFNa_Bcells_p38_V4a,IFNa,Bcells,p38,V4a,0.264945987,0.845086339
IFNa_CD4Tnaive_ERK_V4a,IFNa,CD4Tnaive,ERK,V4a,0.264945987,0.845086339
IFNa_gdT_CREB_V4a,IFNa,gdT,CREB,V4a,0.264945987,0.845086339
IFNa_Granulocytes_MAPKAPK2_V4a,IFNa,Granulocytes,MAPKAPK2,V4a,0.264945987,0.845086339
IFNa_mDC_STAT1_V4a,IFNa,mDC,STAT1,V4a,0.264945987,0.845086339
IFNa_Th1_STAT5_V4a,IFNa,Th1,STAT5,V4a,0.264945987,0.845086339
IFNa_Tregmem_ERK_V4a,IFNa,Tregmem,ERK,V4a,0.264945987,0.845086339
IL246_CD8Tcm_STAT5_V4a,IL246,CD8Tcm,STAT5,V4a,0.264945987,0.845086339
IL246_ncMC_MAPKAPK2_V4a,IL246,ncMC,MAPKAPK2,V4a,0.264945987,0.845086339
LPS_CD4Tcm_IkB_V4a,LPS,CD4Tcm,IkB,V4a,0.264945987,0.845086339
LPS_gdT_CREB_V4a,LPS,gdT,CREB,V4a,0.264945987,0.845086339
LPS_mDC_IkB_V4a,LPS,mDC,IkB,V4a,0.264945987,0.845086339
Unstim_CD4Tnaive_STAT5_V4a,Unstim,CD4Tnaive,STAT5,V4a,0.264945987,0.845086339
Unstim_CD56dimCD16pos-NK_MAPKAPK2_V4a,Unstim,CD56dimCD16pos-NK,MAPKAPK2,V4a,0.264945987,0.845086339
Unstim_gdT_S6_V4a,Unstim,gdT,S6,V4a,0.264945987,0.845086339
Unstim_Bcells_Frequency_V4b,Unstim,Bcells,Frequency,V4b,0.264945987,0.808480367
Unstim_Bcells_NFkB_V4b,Unstim,Bcells,NFkB,V4b,0.264945987,0.808480367
Unstim_CD4Tem_S6_V4b,Unstim,CD4Tem,S6,V4b,0.264945987,0.808480367
Unstim_pDC_CREB_V4b,Unstim,pDC,CREB,V4b,0.264945987,0.808480367
Unstim_Th2_NFkB_V4b,Unstim,Th2,NFkB,V4b,0.264945987,0.808480367
Unstim_Baso_NFkB_V5,Unstim,Baso,NFkB,V5,0.264945987,0.866373378
Unstim_CD4Tnaive_NFkB_V5,Unstim,CD4Tnaive,NFkB,V5,0.264945987,0.866373378
Unstim_Eosino_NFkB_V5,Unstim,Eosino,NFkB,V5,0.264945987,0.866373378
Unstim_intMC_S6_V5,Unstim,intMC,S6,V5,0.264945987,0.866373378
Unstim_Th1_MAPKAPK2_V5,Unstim,Th1,MAPKAPK2,V5,0.264945987,0.866373378
Unstim_Th1_STAT3_V4a,Unstim,Th1,STAT3,V4a,0.265542835,0.845868237
IL246_Tregnaive_STAT1_V4a,IL246,Tregnaive,STAT1,V4a,0.268838122,0.846559734
IL1B_CD8Tcm_pSTAT6_V4a,IL1B,CD8Tcm,pSTAT6,V4a,0.272656819,0.846559734
IL1B_Granulocytes_NFkB_V4a,IL1B,Granulocytes,NFkB,V4a,0.272656819,0.846559734
IL1B_pDC_MAPKAPK2_V4a,IL1B,pDC,MAPKAPK2,V4a,0.272656819,0.846559734
PI_Baso +++_STAT5_V4a,PI,Baso +++,STAT5,V4a,0.274292514,0.846559734
PI_CD4Tnaive_MAPKAPK2_V4a,PI,CD4Tnaive,MAPKAPK2,V4a,0.274292514,0.846559734
PI_CD4Trm_IkB_V4a,PI,CD4Trm,IkB,V4a,0.274292514,0.846559734
PI_CD8Tem_Frequency_V4a,PI,CD8Tem,Frequency,V4a,0.274292514,0.846559734
PI_Granulocytes_S6_V4a,PI,Granulocytes,S6,V4a,0.274292514,0.846559734
PI_MDSC_IkB_V4a,PI,MDSC,IkB,V4a,0.274292514,0.846559734
IL246_CD4Trm_p38_V4a,IL246,CD4Trm,p38,V4a,0.274915407,0.846559734
Unstim_Granulocytes_STAT5_V4a,Unstim,Granulocytes,STAT5,V4a,0.277643958,0.846559734
IFNa_Baso +++_IkB_V4a,IFNa,Baso +++,IkB,V4a,0.278783913,0.846559734
IFNa_CD4Tcm_STAT5_V4a,IFNa,CD4Tcm,STAT5,V4a,0.278783913,0.846559734
IFNa_CD4Tem_MAPKAPK2_V4a,IFNa,CD4Tem,MAPKAPK2,V4a,0.278783913,0.846559734
IFNa_Th2_pSTAT6_V4a,IFNa,Th2,pSTAT6,V4a,0.278783913,0.846559734
IFNa_Treg_STAT5_V4a,IFNa,Treg,STAT5,V4a,0.278783913,0.846559734
IFNa_Tregmem_STAT1_V4a,IFNa,Tregmem,STAT1,V4a,0.278783913,0.846559734
IL246_CD56dimCD16pos-NK_ERK_V4a,IL246,CD56dimCD16pos-NK,ERK,V4a,0.278783913,0.846559734
IL246_CD56dimCD16pos-NK_MAPKAPK2_V4a,IL246,CD56dimCD16pos-NK,MAPKAPK2,V4a,0.278783913,0.846559734
IL246_CD8Tnaive_Frequency_V4a,IL246,CD8Tnaive,Frequency,V4a,0.278783913,0.846559734
IL246_CD8Tnaive_MAPKAPK2_V4a,IL246,CD8Tnaive,MAPKAPK2,V4a,0.278783913,0.846559734
IL246_CD8Tnaive_NFkB_V4a,IL246,CD8Tnaive,NFkB,V4a,0.278783913,0.846559734
IL246_Eosino_STAT3_V4a,IL246,Eosino,STAT3,V4a,0.278783913,0.846559734
IL246_mDC_MAPKAPK2_V4a,IL246,mDC,MAPKAPK2,V4a,0.278783913,0.846559734
IL246_MDSC_MAPKAPK2_V4a,IL246,MDSC,MAPKAPK2,V4a,0.278783913,0.846559734
LPS_CD56dimCD16pos-NK_IkB_V4a,LPS,CD56dimCD16pos-NK,IkB,V4a,0.278783913,0.846559734
LPS_Th1_CREB_V4a,LPS,Th1,CREB,V4a,0.278783913,0.846559734
LPS_Tregmem_MAPKAPK2_V4a,LPS,Tregmem,MAPKAPK2,V4a,0.278783913,0.846559734
TNFa_CD8Tem_CREB_V4a,TNFa,CD8Tem,CREB,V4a,0.278783913,0.846559734
TNFa_CD8Trm_NFkB_V4a,TNFa,CD8Trm,NFkB,V4a,0.278783913,0.846559734
TNFa_Th1_Frequency_V4a,TNFa,Th1,Frequency,V4a,0.278783913,0.846559734
TNFa_Treg_IkB_V4a,TNFa,Treg,IkB,V4a,0.278783913,0.846559734
Unstim_CD8Tcm_S6_V4a,Unstim,CD8Tcm,S6,V4a,0.278783913,0.846559734
Unstim_ncMC_S6_V4a,Unstim,ncMC,S6,V4a,0.278783913,0.846559734
Unstim_NK-Tcells_MAPKAPK2_V4a,Unstim,NK-Tcells,MAPKAPK2,V4a,0.278783913,0.846559734
Unstim_Tregnaive_Frequency_V4a,Unstim,Tregnaive,Frequency,V4a,0.278783913,0.846559734
Unstim_CD4Trm_S6_V4b,Unstim,CD4Trm,S6,V4b,0.278783913,0.808480367
Unstim_Tregmem_IkB_V4b,Unstim,Tregmem,IkB,V4b,0.278783913,0.808480367
Unstim_Baso +++_NFkB_V5,Unstim,Baso +++,NFkB,V5,0.278783913,0.871284785
Unstim_CD4Tnaive_Frequency_V5,Unstim,CD4Tnaive,Frequency,V5,0.278783913,0.871284785
Unstim_gdT_S6_V5,Unstim,gdT,S6,V5,0.278783913,0.871284785
Unstim_ncMC_IkB_V5,Unstim,ncMC,IkB,V5,0.278783913,0.871284785
Unstim_mDC_ERK_V4b,Unstim,mDC,ERK,V4b,0.281183501,0.808480367
Unstim_mDC_ERK_V5,Unstim,mDC,ERK,V5,0.281183501,0.871284785
TNFa_CD56brightCD16neg-NK_p38_V4a,TNFa,CD56brightCD16neg-NK,p38,V4a,0.281732537,0.854434742
IL1B_Th1_p38_V4a,IL1B,Th1,p38,V4a,0.283086397,0.856486078
IFNa_Eosino_pSTAT6_V4a,IFNa,Eosino,pSTAT6,V4a,0.287379561,0.856486078
IL1B_NK-Tcells_IkB_V4a,IL1B,NK-Tcells,IkB,V4a,0.287379561,0.856486078
IL1B_Tregnaive_ERK_V4a,IL1B,Tregnaive,ERK,V4a,0.287379561,0.856486078
TNFa_Th1_STAT5_V4a,TNFa,Th1,STAT5,V4a,0.287379561,0.856486078
Unstim_Granulocytes_STAT5_V4b,Unstim,Granulocytes,STAT5,V4b,0.287402852,0.808480367
LPS_Th2_STAT3_V4a,LPS,Th2,STAT3,V4a,0.2881404,0.856486078
PI_CD4Tem_STAT5_V4a,PI,CD4Tem,STAT5,V4a,0.289729793,0.856486078
PI_CD8Trm_Frequency_V4a,PI,CD8Trm,Frequency,V4a,0.289729793,0.856486078
PI_gdT_IkB_V4a,PI,gdT,IkB,V4a,0.289729793,0.856486078
PI_ncMC_S6_V4a,PI,ncMC,S6,V4a,0.289729793,0.856486078
PI_Th2_MAPKAPK2_V4a,PI,Th2,MAPKAPK2,V4a,0.289729793,0.856486078
TNFa_Th1mem_MAPKAPK2_V4a,TNFa,Th1mem,MAPKAPK2,V4a,0.290442503,0.856486078
IFNa_CD4Tnaive_STAT3_V4a,IFNa,CD4Tnaive,STAT3,V4a,0.293092741,0.856486078
IFNa_CD8Tnaive_IkB_V4a,IFNa,CD8Tnaive,IkB,V4a,0.293092741,0.856486078
IFNa_NK-Tcells_IkB_V4a,IFNa,NK-Tcells,IkB,V4a,0.293092741,0.856486078
IFNa_Th2_MAPKAPK2_V4a,IFNa,Th2,MAPKAPK2,V4a,0.293092741,0.856486078
IFNa_Treg_IkB_V4a,IFNa,Treg,IkB,V4a,0.293092741,0.856486078
IL246_CD8Tem_S6_V4a,IL246,CD8Tem,S6,V4a,0.293092741,0.856486078
IL246_Th2_STAT3_V4a,IL246,Th2,STAT3,V4a,0.293092741,0.856486078
LPS_Bcells_MAPKAPK2_V4a,LPS,Bcells,MAPKAPK2,V4a,0.293092741,0.856486078
LPS_CD8Tem_ERK_V4a,LPS,CD8Tem,ERK,V4a,0.293092741,0.856486078
LPS_gdT_MAPKAPK2_V4a,LPS,gdT,MAPKAPK2,V4a,0.293092741,0.856486078
TNFa_CD56brightCD16neg-NK_STAT5_V4a,TNFa,CD56brightCD16neg-NK,STAT5,V4a,0.293092741,0.856486078
TNFa_CD8Tnaive_MAPKAPK2_V4a,TNFa,CD8Tnaive,MAPKAPK2,V4a,0.293092741,0.856486078
TNFa_mDC_ERK_V4a,TNFa,mDC,ERK,V4a,0.293092741,0.856486078
TNFa_Tregmem_IkB_V4a,TNFa,Tregmem,IkB,V4a,0.293092741,0.856486078
Unstim_CD4Trm_IkB_V4a,Unstim,CD4Trm,IkB,V4a,0.293092741,0.856486078
Unstim_NK-Tcells_Frequency_V4a,Unstim,NK-Tcells,Frequency,V4a,0.293092741,0.856486078
Unstim_pDC_NFkB_V4a,Unstim,pDC,NFkB,V4a,0.293092741,0.856486078
Unstim_Tregnaive_IkB_V4a,Unstim,Tregnaive,IkB,V4a,0.293092741,0.856486078
Unstim_Bcells_IkB_V4b,Unstim,Bcells,IkB,V4b,0.293092741,0.808480367
