,Max Proba
Th17_CREB_Unstim,0.1175
CD4Tnaive_ERK_Unstim,0.1165
Th2_p38_Unstim,0.1165
CD8Tnaive_pSTAT6_Unstim,0.116
pDC_CREB_Unstim,0.1135
Th17_pSTAT6_Unstim,0.111
Treg_CREB_Unstim,0.1095
Treg_MAPKAPK2_Unstim,0.1085
NK-Tcells_ERK_Unstim,0.1085
CD4Tem_CREB_Unstim,0.1075
Eosino_STAT3_Unstim,0.1065
mDC_IkB_Unstim,0.105
CD8Tcm_MAPKAPK2_Unstim,0.103
mDC_STAT3_Unstim,0.0995
gdT_NFkB_Unstim,0.099
Eosino_ERK_Unstim,0.0985
CD56brightCD16neg-NK_NFkB_Unstim,0.098
CD8Tcm_CREB_Unstim,0.0975
Tregmem_S6_Unstim,0.0975
CD56dimCD16pos-NK_CREB_Unstim,0.0965
Treg_S6_Unstim,0.0955
Eosino_p38_Unstim,0.0945
CD56dimCD16pos-NK_Frequency_Unstim,0.0935
Baso_CREB_Unstim,0.0935
intMC_IkB_Unstim,0.0935
Baso +++_CREB_Unstim,0.0925
Baso +++_NFkB_Unstim,0.0925
intMC_CREB_Unstim,0.092
Granulocytes_S6_Unstim,0.0915
CD4Trm_STAT3_Unstim,0.087
mDC_S6_Unstim,0.0865
Th2_ERK_Unstim,0.085
ncMC_p38_Unstim,0.085
Eosino_STAT5_Unstim,0.0835
CD8Tnaive_IkB_Unstim,0.083
CD56brightCD16neg-NK_S6_Unstim,0.0825
MDSC_STAT3_Unstim,0.0825
CD8Tem_CREB_Unstim,0.082
Granulocytes_IkB_Unstim,0.0815
Bcells_CREB_Unstim,0.0815
CD8Tem_ERK_Unstim,0.079
CD8Tnaive_Frequency_Unstim,0.078
Baso_Frequency_Unstim,0.0765
cMC_Frequency_Unstim,0.076
mDC_CREB_Unstim,0.076
CD4Tcm_CREB_Unstim,0.0755
CD8Tcm_pSTAT6_Unstim,0.0755
Th1_MAPKAPK2_Unstim,0.075
Treg_p38_Unstim,0.075
CD8Trm_CREB_Unstim,0.0725
CD4Tcm_STAT5_Unstim,0.0725
Baso_NFkB_Unstim,0.072
CD8Tcm_STAT5_Unstim,0.071
pDC_NFkB_Unstim,0.071
intMC_STAT5_Unstim,0.071
Tregmem_p38_Unstim,0.07
MDSC_STAT5_Unstim,0.068
intMC_NFkB_Unstim,0.068
pDC_MAPKAPK2_Unstim,0.068
intMC_p38_Unstim,0.067
MDSC_NFkB_Unstim,0.0665
Treg_STAT5_Unstim,0.066
NK-Tcells_MAPKAPK2_Unstim,0.065
CD4Trm_NFkB_Unstim,0.065
cMC_STAT3_Unstim,0.065
NK-Tcells_S6_Unstim,0.0645
CD4Tcm_Frequency_Unstim,0.062
CD4Tnaive_CREB_Unstim,0.061
Eosino_CREB_Unstim,0.0595
CD8Tnaive_S6_Unstim,0.0585
Tregmem_STAT5_Unstim,0.0585
Granulocytes_NFkB_Unstim,0.058
Treg_Frequency_Unstim,0.0575
Th17_Frequency_Unstim,0.055
pDC_STAT3_Unstim,0.055
mDC_STAT5_Unstim,0.055
Th17_MAPKAPK2_Unstim,0.0545
CD8Tnaive_CREB_Unstim,0.054
Baso +++_Frequency_Unstim,0.0525
Tregmem_MAPKAPK2_Unstim,0.0515
ncMC_MAPKAPK2_Unstim,0.049
CD4Tem_STAT3_Unstim,0.048
Bcells_p38_Unstim,0.048
ncMC_CREB_Unstim,0.0475
CD4Tem_ERK_Unstim,0.0475
CD4Tcm_STAT3_Unstim,0.047
CD56brightCD16neg-NK_IkB_Unstim,0.0455
CD4Tnaive_STAT3_Unstim,0.0445
cMC_NFkB_Unstim,0.0425
Tregmem_STAT3_Unstim,0.0425
Th2_STAT3_Unstim,0.042
Eosino_NFkB_Unstim,0.0415
Treg_STAT3_Unstim,0.0405
Treg_pSTAT6_Unstim,0.04
Tregmem_Frequency_Unstim,0.04
Baso_IkB_Unstim,0.0395
CD4Tnaive_MAPKAPK2_Unstim,0.0395
CD4Trm_S6_Unstim,0.0365
Tregnaive_IkB_Unstim,0.036
MDSC_S6_Unstim,0.0355
CD4Tnaive_S6_Unstim,0.035
cMC_STAT5_Unstim,0.035
Th17_STAT3_Unstim,0.034
mDC_NFkB_Unstim,0.033
MDSC_IkB_Unstim,0.031
CD4Tem_MAPKAPK2_Unstim,0.031
CD8Tem_S6_Unstim,0.028
Th2_IkB_Unstim,0.0275
CD56dimCD16pos-NK_NFkB_Unstim,0.0255
Tregmem_pSTAT6_Unstim,0.0245
Th2_NFkB_Unstim,0.023
CD56dimCD16pos-NK_MAPKAPK2_Unstim,0.0225
CD4Tcm_MAPKAPK2_Unstim,0.022
Baso +++_IkB_Unstim,0.0215
CD8Tnaive_NFkB_Unstim,0.0215
Granulocytes_MAPKAPK2_Unstim,0.02
Bcells_MAPKAPK2_Unstim,0.0195
CD8Tem_MAPKAPK2_Unstim,0.0195
CD8Trm_S6_Unstim,0.019
mDC_MAPKAPK2_Unstim,0.0185
ncMC_NFkB_Unstim,0.018
Th17_ERK_Unstim,0.0155
cMC_IkB_Unstim,0.0155
CD8Tem_NFkB_Unstim,0.015
ncMC_IkB_Unstim,0.015
CD8Tem_IkB_Unstim,0.015
CD8Tcm_ERK_Unstim,0.0145
gdT_S6_Unstim,0.0145
CD8Tcm_NFkB_Unstim,0.0115
Eosino_MAPKAPK2_Unstim,0.011
CD56dimCD16pos-NK_IkB_Unstim,0.0105
