,Max Proba
pDC_MAPKAPK2_Unstim,0.0605
CD8Trm_NFkB_Unstim,0.0605
CD4Trm_pSTAT6_Unstim,0.0595
Tregnaive_ERK_Unstim,0.0595
cMC_Frequency_Unstim,0.0585
CD4Tem_pSTAT6_Unstim,0.0555
Granulocytes_STAT3_Unstim,0.0545
Baso_S6_Unstim,0.0535
Tregnaive_NFkB_Unstim,0.053
Baso_NFkB_Unstim,0.0525
Tregmem_CREB_Unstim,0.05
Tregnaive_pSTAT6_Unstim,0.049
Th17_pSTAT6_Unstim,0.048
CD56brightCD16neg-NK_IkB_Unstim,0.048
Th17_Frequency_Unstim,0.0475
Th1naive_S6_Unstim,0.047
Th1_S6_Unstim,0.0465
Th2_pSTAT6_Unstim,0.046
pDC_NFkB_Unstim,0.0455
Bcells_p38_Unstim,0.0455
CD8Tem_CREB_Unstim,0.045
CD56brightCD16neg-NK_MAPKAPK2_Unstim,0.045
Eosino_p38_Unstim,0.0445
Eosino_Frequency_Unstim,0.0445
Th2_NFkB_Unstim,0.044
CD56brightCD16neg-NK_S6_Unstim,0.0435
CD8Tnaive_NFkB_Unstim,0.043
cMC_STAT3_Unstim,0.0425
CD4Trm_S6_Unstim,0.04
Tregnaive_CREB_Unstim,0.04
Eosino_pSTAT6_Unstim,0.0395
Th1naive_STAT1_Unstim,0.039
Th2_MAPKAPK2_Unstim,0.0375
MDSC_p38_Unstim,0.0375
NK-Tcells_ERK_Unstim,0.037
intMC_STAT3_Unstim,0.0365
pDC_CREB_Unstim,0.036
CD4Tcm_pSTAT6_Unstim,0.036
CD8Tem_Frequency_Unstim,0.0355
Baso +++_MAPKAPK2_Unstim,0.035
cMC_p38_Unstim,0.0345
Tregnaive_STAT3_Unstim,0.0345
CD8Tnaive_STAT5_Unstim,0.0345
Treg_p38_Unstim,0.034
ncMC_MAPKAPK2_Unstim,0.0335
intMC_NFkB_Unstim,0.0335
MDSC_S6_Unstim,0.033
mDC_p38_Unstim,0.0325
Treg_CREB_Unstim,0.032
gdT_IkB_Unstim,0.0315
Th1_CREB_Unstim,0.031
Baso +++_NFkB_Unstim,0.0305
CD4Tcm_Frequency_Unstim,0.03
Th1naive_IkB_Unstim,0.0295
CD4Trm_NFkB_Unstim,0.029
CD8Tnaive_Frequency_Unstim,0.0285
Tregmem_p38_Unstim,0.0275
Th1naive_CREB_Unstim,0.0275
mDC_IkB_Unstim,0.0275
CD4Tnaive_Frequency_Unstim,0.027
CD4Tem_STAT5_Unstim,0.026
CD4Tem_ERK_Unstim,0.026
CD4Tem_CREB_Unstim,0.0245
Th2_IkB_Unstim,0.0235
cMC_NFkB_Unstim,0.023
CD4Tcm_STAT5_Unstim,0.0225
Eosino_CREB_Unstim,0.022
Granulocytes_CREB_Unstim,0.022
Eosino_NFkB_Unstim,0.0215
CD4Trm_MAPKAPK2_Unstim,0.0215
CD8Tcm_STAT5_Unstim,0.02
CD4Tnaive_pSTAT6_Unstim,0.02
ncMC_NFkB_Unstim,0.0195
CD8Tcm_MAPKAPK2_Unstim,0.019
MDSC_IkB_Unstim,0.018
Bcells_CREB_Unstim,0.0175
mDC_STAT3_Unstim,0.017
cMC_IkB_Unstim,0.0165
Eosino_IkB_Unstim,0.0165
Eosino_S6_Unstim,0.0165
Treg_Frequency_Unstim,0.0165
mDC_MAPKAPK2_Unstim,0.0165
Bcells_MAPKAPK2_Unstim,0.016
CD4Tnaive_CREB_Unstim,0.0155
CD56dimCD16pos-NK_NFkB_Unstim,0.0155
gdT_CREB_Unstim,0.0155
Th17_STAT5_Unstim,0.015
Granulocytes_NFkB_Unstim,0.015
